model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,activity_train_loss,activity_validation_loss,domain_train_loss,domain_train_accuracy,domain_validation_loss,domain_validation_accuracy
realmlp,kpx_group_3,18,0.6254794221175345,0.6073637008666992,0.5445823073387146,,,,,,,
realmlp,all,19,0.5948548120887656,0.5253106951713562,0.5991755127906799,1.327586614771893,0.3190428328357245,0.4253055155277252,0.6848753863259366,0.4895148026315789,0.662026584148407,0.7683150172233582
realmlp,kpx_group_1,19,0.5923112238708296,0.5464902520179749,0.5910798907279968,,,,,,,
realmlp,kpx_group_2,19,0.5606544213859659,0.45966342091560364,0.6406451463699341,,,,,,,
realmlp,kpx_group_3,19,0.6315987753240686,0.5697784423828125,0.5658013820648193,,,,,,,
realmlp,all,20,0.6021748138101477,0.5294539332389832,0.5979087948799133,1.3338876899920011,0.32177581049894033,0.4021487236022949,0.6834464912351809,0.4924444901315789,0.6775938868522644,0.747710645198822
realmlp,kpx_group_1,20,0.5834472610762245,0.5410537719726562,0.5927999019622803,,,,,,,
realmlp,kpx_group_2,20,0.5632084059087854,0.46276846528053284,0.6412907242774963,,,,,,,
realmlp,kpx_group_3,20,0.6598687705240751,0.5845394730567932,0.5596357583999634,,,,,,,
realmlp,all,21,0.5930912808368081,0.5357829928398132,0.5915511250495911,1.329311988855663,0.3218977412110881,0.4041554033756256,0.6879360511114723,0.4886924342105263,0.658100962638855,0.7710622549057007
realmlp,kpx_group_1,21,0.5832369531455793,0.5143737196922302,0.6121392250061035,,,,,,,
realmlp,kpx_group_2,21,0.5530228018760681,0.45856618881225586,0.6415745615959167,,,,,,,
realmlp,kpx_group_3,21,0.6430140827831469,0.6344089508056641,0.5209394693374634,,,,,,,
realmlp,all,22,0.5849728560761401,0.5304439067840576,0.5927075147628784,1.320077093024003,0.3171090166035451,0.4081604778766632,0.6875378763989398,0.4737613075657895,0.6774417757987976,0.7596153616905212
realmlp,kpx_group_1,22,0.5744798191283879,0.523614764213562,0.6062024831771851,,,,,,,
realmlp,kpx_group_2,22,0.5442565208987186,0.46872276067733765,0.6287487745285034,,,,,,,
realmlp,kpx_group_3,22,0.636182217221511,0.5989941358566284,0.5431712865829468,,,,,,,
realmlp,all,23,0.5759647025873786,0.5426639914512634,0.5859753489494324,1.312400526122043,0.32055822014808655,0.4102577269077301,0.6883520727094851,0.47013132195723684,0.6675224304199219,0.7458791136741638
realmlp,kpx_group_1,23,0.5689562221891001,0.5741680264472961,0.571287214756012,,,,,,,
realmlp,kpx_group_2,23,0.5321304445203981,0.4537774622440338,0.6451510787010193,,,,,,,
realmlp,kpx_group_3,23,0.6268074347784645,0.6000463962554932,0.5414877533912659,,,,,,,
realmlp,all,24,0.5687863207177112,0.5408835411071777,0.5891463160514832,1.3044562967200029,0.3189986669703534,0.4250212013721466,0.6878201765449423,0.4647666529605263,0.661016583442688,0.7660256624221802
realmlp,kpx_group_1,24,0.5566461337240118,0.565910279750824,0.5758330821990967,,,,,,,
realmlp,kpx_group_2,24,0.5227341855827131,0.45471736788749695,0.6446643471717834,,,,,,,
realmlp,kpx_group_3,24,0.626978622455346,0.6020230650901794,0.5469415187835693,,,,,,,
realmlp,all,25,0.5559501749904532,0.5056113004684448,0.6119421720504761,1.290445588136974,0.31496163810554306,0.4200681447982788,0.6872511757047552,0.4731381064967105,0.6690480709075928,0.7664835453033447
realmlp,kpx_group_1,25,0.5492120918474699,0.4761453866958618,0.6340106725692749,,,,,,,
realmlp,kpx_group_2,25,0.5111928715517646,0.45980340242385864,0.6378841400146484,,,,,,,
realmlp,kpx_group_3,25,0.6074455568664953,0.5808851718902588,0.5639318227767944,,,,,,,
realmlp,all,26,0.5520443132049159,0.5280482769012451,0.5995784997940063,1.287863557275973,0.3129679831235032,0.3948007822036743,0.6888740384264996,0.4693732010690789,0.6721542477607727,0.7445054650306702
realmlp,kpx_group_1,26,0.5422706251081667,0.5292710661888123,0.6043371558189392,,,,,,,
realmlp,kpx_group_2,26,0.5105371063477114,0.46106529235839844,0.6373831033706665,,,,,,,
realmlp,kpx_group_3,26,0.603325209335277,0.5938084125518799,0.5570152997970581,,,,,,,
realmlp,all,27,0.5437043254312716,0.5092982649803162,0.61341792345047,1.2781164128529399,0.3099948234463993,0.39076390862464905,0.6879128735316428,0.468994140625,0.6723008751869202,0.773809552192688
realmlp,kpx_group_1,27,0.537186042258614,0.5048746466636658,0.6213614344596863,,,,,,,
realmlp,kpx_group_2,27,0.4985735953638428,0.4484930634498596,0.6503865718841553,,,,,,,
